cameo_root,cameo_label,commodity,lag_days,pearson_r,pearson_p,spearman_r,spearman_p
07,Provide Aid,ZW=F,1,-0.009486391111433859,0.6733603961790726,-0.024050264222660857,0.2851433822428042
07,Provide Aid,ZW=F,5,0.014069194298035641,0.5318394920535847,0.0045303790275443775,0.8404561859995507
07,Provide Aid,ZW=F,10,-0.00367860130916952,0.8701558880291923,-0.014903340525308659,0.5077969911807282
07,Provide Aid,ZW=F,20,-0.03188015833456408,0.15744030762089947,-0.027699685030914578,0.2193447233797468
08,Yield / Concede,CL=F,0,0.04151743924710044,0.06872478711371485,0.04120521460394595,0.07083647018348614
08,Yield / Concede,CL=F,1,0.004702130468677646,0.83674013590569,0.02079975418011327,0.3619704444791273
08,Yield / Concede,CL=F,5,0.019952609035188154,0.3818566798079231,0.018535539320098153,0.41658383771687624
08,Yield / Concede,CL=F,10,0.0042881460676248515,0.8509757806746762,0.033207550846288736,0.14558792226512945
08,Yield / Concede,CL=F,20,0.0075678052831699115,0.7408700600954773,0.0296568299103398,0.19489828263620843
08,Yield / Concede,GC=F,0,-0.010264757307916355,0.6463104164187355,0.005229551559845533,0.8151507003088782
08,Yield / Concede,GC=F,1,-0.03797480707584317,0.08945858861671063,-0.01950081927798619,0.383285322313908
08,Yield / Concede,GC=F,5,0.05193208526029041,0.0201700182114738,0.072702350150862,0.0011361784796849372
08,Yield / Concede,GC=F,10,-0.020946656153921647,0.3491290353122986,-0.0012280825574811705,0.9562283242636553
08,Yield / Concede,GC=F,20,0.02558844897553348,0.25388850233842636,0.0030095691950627985,0.8932672997128602
08,Yield / Concede,ZW=F,0,-0.0021914839971159394,0.9224250487635127,0.014452272484568459,0.5207269202547924
08,Yield / Concede,ZW=F,1,0.009293833718530865,0.6796185965682908,0.006610098760904174,0.7689678652694728
08,Yield / Concede,ZW=F,5,0.04176019422397008,0.06339107642292242,0.021459888297338997,0.3402418988864996
08,Yield / Concede,ZW=F,10,0.017840287510850834,0.42800993459641473,-6.521329534310738e-05,0.9976884985339736
08,Yield / Concede,ZW=F,20,0.010377700735908876,0.6456146899821023,0.017205338469961577,0.4457920424511269
09,Investigate,CL=F,0,,,,
09,Investigate,CL=F,1,,,,
09,Investigate,CL=F,5,,,,
09,Investigate,CL=F,10,,,,
09,Investigate,CL=F,20,,,,
09,Investigate,GC=F,0,,,,
09,Investigate,GC=F,1,,,,
